Tempat_Makan,Biaya,Jarak_Meter,Rating_Rasa,Rating_Nyaman,Wifi_Score,Colokan_Score,Waktu_Score,Cluster,Skor_Rekomendasi
Adat Kos,18000.0,2468.75,4.0,3.0625,0.0,0.0,1.0625,0,0.0
Ayam Geprek Sai,13466.666666666666,1400.0,4.0,4.0,0.0,0.0,2.0,0,85.75290137913092
Bakso Solo,12285.714285714286,1800.0,4.0,3.0,0.0,0.0,2.0,0,86.31214161057095
Bakso Solo (Jl. Sumatera),12000.0,1800.0,4.0,3.0,0.0,0.0,2.0,0,86.44444444444441
Barokah,10000.0,5000.0,5.0,3.0,0.0,0.0,2.0,1,70.0003318456211
Belakang Polije,6000.0,3000.0,4.0,2.0,0.0,0.0,2.0,0,87.33333333333337
Excelso,25000.0,2200.0,4.0,5.0,2.0,2.0,0.0,1,0.0
Excelso Express (Perpus),18000.0,1100.0,4.0,5.0,2.0,2.0,1.0,0,86.8974358974359
Garahan,8000.0,300.0,3.0,3.0,0.0,0.0,2.0,0,24.990360818027863
Geprek Lek Djo,15000.0,2700.0,5.0,2.0,0.0,0.0,2.0,2,0.0
Geprek Uye,10235.29411764706,1423.529411764706,4.0588235294117645,3.117647058823529,0.0,0.0,1.9411764705882355,0,87.23241464417939
Gudeg Lumintu,25000.0,3200.0,5.0,5.0,2.0,2.0,0.0,1,0.0
Kantin Fasilkom,10176.470588235294,0.0,3.117647058823529,2.9411764705882355,1.0588235294117647,1.0,1.1764705882352942,0,0.0
Kantin Perpus Unej,15470.588235294115,682.3529411764706,4.117647058823529,4.764705882352941,1.0,0.8823529411764706,1.0,0,87.82135076252722
Kfc Gajah Mada,38200.0,2593.333333333333,5.0,5.0,2.0,2.0,1.9333333333333331,1,0.0
Kopi Kenangan,19200.0,900.0,4.0,5.0,2.0,2.0,0.0,0,87.33333333333337
Kopi Kenangan (Jl. Jawa),20000.0,900.0,4.0,5.0,2.0,2.0,0.0,0,87.33333333333337
Kulos,13954.545454545454,2936.3636363636365,4.045454545454546,4.045454545454546,1.0454545454545454,2.0,0.9545454545454546,0,85.51643594500736
Lalapan Cak Riyadi,14357.142857142857,471.4285714285714,5.0,3.0,0.0,0.0,2.0,2,85.00000000000026
Lalapan Cinta Mastrip,11000.0,650.0,4.0,3.0,0.0,0.0,2.0,0,86.8974358974359
Legacy Coffee,20909.090909090908,2600.0,4.909090909090909,5.0,2.0,2.0,0.2727272727272727,1,0.0
Mie Apong,17000.0,1300.0,5.0,4.0,0.0,0.0,1.0,2,85.00000000000026
Mie Apong (Jl. Sumatera),17000.0,1300.0,5.0,4.0,0.0,0.0,1.0,2,85.00000000000026
Mie Gacoan (Sumatera),15357.142857142857,1200.0,5.0,4.0,0.0,0.0,1.0,2,85.00000000000026
Nasi Padang Riau,9000.0,3200.0,4.0,4.0,0.0,1.0,2.0,0,87.33333333333337
Pak Os,10000.0,3000.0,5.0,5.0,0.0,0.0,1.0,2,85.00000000000026
Pizza Hut Delivery,28000.0,2200.0,5.0,5.0,2.0,1.0,1.0,1,0.0
Pizza Hut Delivery (Sumatera),28000.0,2200.0,5.0,5.0,2.0,1.0,1.0,1,0.0
Rocket Chicken,13000.0,350.0,4.0,3.0,0.0,0.0,2.0,0,87.11764705882358
Seblak Bloom,12062.5,853.125,4.0,4.0,1.0,1.0,1.0,0,86.48758710801398
Solaria Roxy,35800.0,3800.0,5.0,5.0,2.0,2.0,1.0,1,0.0
Soto Ayam Lamongan,13000.0,600.0,4.0,3.0,0.0,0.0,2.0,0,87.11764705882358
Soto Ayam Lamongan (Kalimantan),11000.0,500.0,4.5,3.0,0.0,0.0,2.0,2,86.8974358974359
Warkop Wolu Pitu,15000.0,750.0,4.0,4.0,1.0,1.0,1.0,0,87.33333333333337
Warteg Kharisma,13000.0,2500.0,4.0,4.0,0.0,0.0,2.0,0,85.97619047619048
Warung Barokah,7947.368421052632,1100.0,3.1052631578947367,3.0526315789473686,0.0,0.0,2.0,0,0.0
Warung Bu Jutek,15000.0,700.0,5.0,2.0,0.0,0.0,2.0,2,85.00000000000026
Warung Bu Sherly/Warung Pojok,12138.888888888889,1236.111111111111,5.0,3.055555555555556,0.0,0.0,2.0,2,85.00000000000026
Warung Ijo Nias,10909.09090909091,1500.0,4.2727272727272725,2.0,0.0,0.0,2.0,0,86.93779904306223
Warung Kuning,10000.0,500.0,4.0,5.0,0.0,0.0,2.0,0,87.33333333333337
Warung Ndelik,10000.0,1000.0,5.0,2.0,0.0,0.0,2.0,2,85.00000000000026
Warung Tegal (Depan Unej),9285.714285714286,500.0,3.0,3.0,0.0,0.0,2.0,0,24.990360818027863
